cumulative_pod_deposit_amt,cumulative_num_pods,age_of_account,num_friends,num_pods_created,network_size,num_peer_review_positive,num_peer_review_negative,reputation_score
43,2,4,3,1,9,14,1,8
1185,10,8,10,2,25,20,1,6
5351,15,12,26,6,45,44,7,6
118,1,5,2,4,7,7,1,2
61,1,6,9,3,7,7,4,8
2779,7,10,4,3,29,25,2,1
60,4,5,3,1,17,9,1,8
13,2,5,5,8,7,3,3,4
2740,4,8,21,5,15,28,9,6
110,2,8,6,2,11,10,6,3
2060,13,6,2,4,38,16,2,4
13082,29,11,30,0,68,60,29,8
3657,9,9,6,7,35,32,20,8
21,1,4,4,1,5,2,4,10
1005,15,7,5,1,31,15,4,4
626,10,10,12,6,24,14,14,8
5908,20,12,13,8,48,40,11,8
257,2,7,7,3,9,12,11,3
569,5,6,8,5,28,18,1,7
3903,5,5,2,1,28,39,1,4
631,7,8,3,2,14,12,1,7
5963,17,8,22,2,49,50,1,8
4081,10,6,3,5,21,15,2,8
1537,12,9,15,7,32,15,7,6
13856,25,12,11,0,65,57,17,7
15,1,9,10,4,6,5,5,3
9578,16,13,6,7,49,47,23,6
881,2,9,12,3,11,28,5,7
7681,15,10,10,2,41,38,2,4
10534,24,12,9,7,61,45,28,5
5911,16,11,9,2,39,44,4,9
347,1,5,13,1,6,8,6,3
5757,25,12,14,3,64,46,3,5
6081,13,10,5,4,44,41,3,5
41,2,4,4,0,8,2,2,5
10568,21,11,20,0,55,58,11,9
7074,17,6,5,0,33,28,10,6
11922,26,13,15,3,66,60,18,8
59,2,4,6,2,9,10,2,6
18,1,10,11,2,9,8,4,6
8222,25,14,20,5,59,53,7,7
1883,12,5,19,1,44,32,6,1
8351,21,10,13,8,52,50,2,6
2595,11,9,7,1,29,22,4,1
2,0,9,8,3,2,1,2,6
3780,16,5,3,0,42,20,4,8
535,3,5,7,1,13,19,4,9
335,2,4,3,1,7,2,10,4
38,0,5,1,0,2,1,3,4
1882,7,5,3,0,21,13,4,9
930,15,8,11,2,46,38,3,6
296,2,4,2,1,10,11,2,3
4003,9,7,5,6,33,15,6,8
5036,14,9,10,2,36,26,4,7
6193,17,11,12,7,49,38,4,6
2703,12,7,6,2,40,30,1,4
29,0,2,1,1,2,1,1,7
1445,9,8,7,6,38,29,2,8
51,0,7,5,0,7,16,2,6
5696,20,11,20,3,49,57,15,5
6974,20,9,13,3,52,51,6,6
13305,23,12,12,5,57,55,10,10
5743,12,9,16,2,37,33,3,6
9337,16,9,8,5,43,41,4,4
4989,11,9,19,1,37,35,10,2
1099,11,8,5,5,42,10,17,6
432,7,7,9,2,24,24,1,5
45,1,2,7,1,5,5,1,6
668,8,7,6,0,27,25,1,4
311,1,3,7,6,7,3,4,6
445,6,4,3,2,17,18,1,9
148,1,5,2,1,6,4,2,7
5561,17,9,8,8,44,38,7,2
3836,16,7,12,0,33,31,4,4
689,11,8,12,6,25,32,1,8
141,8,9,8,3,24,8,2,7
5181,15,11,8,7,49,44,9,4
6212,7,12,9,0,24,32,26,4
260,0,4,4,5,3,8,1,7
7864,24,11,16,3,63,41,10,9
13963,30,10,26,5,68,59,8,6
4134,16,8,7,1,41,26,9,1
1988,6,11,11,3,23,31,5,5
3308,12,10,16,0,29,29,15,1
4600,18,9,10,0,52,40,2,6
2521,10,7,9,2,35,43,2,5
877,8,6,7,4,27,24,3,7
5535,18,10,12,0,46,32,7,3
576,8,9,6,0,23,12,1,8
184,1,2,3,0,3,7,4,10
2555,10,8,3,8,35,33,8,8
18,0,5,4,4,3,3,6,6
2519,7,8,9,2,25,33,3,5
4104,17,6,3,4,44,13,7,8
1,1,5,3,1,2,0,2,2
0,0,6,5,2,1,0,2,7
11772,20,8,12,7,53,53,6,9
628,3,9,9,2,23,14,29,9
576,2,8,7,0,15,8,8,5
7876,17,13,18,3,39,58,2,3
3294,14,5,8,2,33,28,8,8
915,17,8,4,4,47,18,7,8
4612,26,10,17,5,59,30,21,5
33,0,6,5,0,7,8,2,8
539,1,9,2,6,6,7,9,2
6153,10,6,2,2,36,36,6,8
15,0,3,3,1,4,11,1,8
4294,22,8,14,0,50,43,11,6
306,3,11,9,2,12,17,7,4
170,0,6,2,0,3,2,13,4
80,0,6,1,2,2,5,2,9
3793,16,11,8,7,37,20,19,7
5176,17,7,9,5,40,28,8,8
10762,20,12,17,0,52,49,24,2
25,1,8,3,8,6,3,1,8
54,2,11,10,3,8,8,10,6
3257,14,6,6,5,37,22,1,7
1065,6,7,7,7,16,6,2,3
116,1,6,1,1,9,13,7,1
0,0,3,1,1,0,0,1,8
5036,9,7,12,7,27,33,6,9
14,0,5,9,5,2,4,1,2
5522,10,6,6,0,42,24,2,3
7901,15,11,10,0,38,41,6,6
4049,15,9,15,0,39,43,2,2
133,1,9,5,5,5,11,1,8
55,2,2,4,0,13,1,4,6
2588,16,13,10,2,44,44,2,3
51,0,5,5,2,4,5,2,6
12612,29,15,24,7,67,59,14,8
8552,22,13,25,7,49,52,15,9
2633,14,10,9,2,43,14,12,6
7,1,3,3,1,6,1,2,8
1239,6,7,9,7,28,17,2,7
22,0,3,1,2,1,1,2,9
208,8,8,9,6,20,5,11,10
16,1,6,3,4,6,0,2,6
13097,26,10,12,2,61,53,17,8
882,7,7,7,5,22,9,1,8
5381,22,9,11,6,49,14,15,3
844,6,7,7,2,22,19,5,3
26,1,11,6,2,17,12,15,4
309,14,11,6,7,32,8,1,6
2539,15,9,10,2,38,33,3,3
345,3,9,8,5,11,12,2,6
1454,10,7,17,5,21,8,6,7
340,1,9,4,3,4,9,1,5
973,10,11,16,0,38,34,15,8
1323,12,11,14,6,29,28,3,6
10786,25,12,13,2,59,46,13,6
6958,20,8,5,6,51,48,12,2
115,1,4,4,1,9,8,1,6
1473,8,5,9,6,28,14,7,4
471,4,6,9,2,12,15,1,1
7123,22,8,15,5,51,39,14,6
159,1,7,8,2,5,14,2,2
510,6,10,19,5,19,14,19,8
5,1,3,2,0,8,3,3,6
566,6,6,7,4,10,17,2,2
30,0,7,2,2,4,4,1,8
6960,15,7,9,6,49,46,10,6
7035,21,10,6,3,52,40,14,6
610,2,8,11,4,10,29,8,5
72,4,9,11,3,14,9,1,7
1990,16,9,9,4,46,31,12,8
1237,3,6,6,0,11,30,1,7
280,6,10,14,2,21,24,4,9
142,0,6,11,3,5,4,5,6
11378,22,14,19,2,65,59,22,8
710,2,5,7,1,13,19,5,7
11,2,6,6,4,14,2,2,10
8,0,5,5,4,1,1,1,7
9286,22,8,13,7,52,38,15,6
7963,19,11,16,2,37,44,12,8
202,2,7,2,4,8,5,5,4
2382,3,8,1,4,13,25,15,4
653,11,13,24,3,30,26,5,2
6904,23,13,12,5,58,47,5,8
7,1,8,6,2,6,3,2,5
11897,23,8,10,4,58,46,21,6
4024,20,12,24,3,56,46,2,6
3312,9,6,7,3,32,32,3,8
3651,8,6,8,0,26,31,12,7
1753,9,10,13,2,41,43,3,3
6992,21,9,8,2,49,35,1,6
57,1,5,4,0,7,8,1,7
125,1,3,5,5,9,6,3,8
945,17,10,9,0,52,28,27,3
1236,8,5,4,0,31,9,1,7
5,0,3,1,0,4,6,1,8
11198,26,11,13,7,61,56,4,6
76,2,4,9,6,7,4,3,9
1075,4,7,6,2,13,9,11,6
584,4,5,7,0,19,14,2,5
8735,22,10,8,7,51,43,1,4
941,16,8,10,1,30,9,16,4
8,0,4,4,6,4,1,1,8
5988,13,7,9,3,30,26,1,4
1207,4,5,7,3,20,10,6,6
217,3,9,4,6,11,23,1,4
759,4,9,8,2,18,21,8,8
4274,22,8,14,1,52,23,13,6
6631,18,11,10,0,51,54,20,6
2189,10,9,15,3,37,29,2,6
1954,13,8,17,2,26,38,1,5
39,1,6,3,4,4,2,2,3
2328,13,10,10,5,40,26,5,4
6879,21,8,9,0,44,30,3,3
535,3,9,6,3,7,11,3,5
3535,18,7,9,0,47,42,8,8
5,1,7,1,0,9,6,1,4
355,4,10,16,0,19,18,2,6
3332,14,12,14,8,37,29,9,4
204,7,8,5,2,20,3,5,4
3912,8,8,4,2,28,15,7,1
390,9,8,18,0,25,10,6,5
910,7,8,6,2,23,18,1,6
1636,11,7,11,4,33,35,4,4
0,0,3,2,1,1,1,1,4
130,2,9,10,1,13,11,2,9
960,5,5,11,0,23,26,7,7
7627,25,11,14,5,55,38,11,3
5080,15,7,4,2,39,24,5,8
162,3,9,3,0,13,19,2,9
75,0,5,3,0,5,5,1,5
2188,13,10,9,3,35,38,5,5
2887,17,9,12,6,54,33,2,4
3109,13,5,6,0,32,21,1,8
571,4,7,4,3,16,25,1,3
158,4,6,22,0,13,15,1,6
775,19,11,9,0,42,19,3,4
1545,6,4,6,1,12,14,11,7
3757,6,8,10,3,30,38,10,6
345,8,10,18,0,28,18,4,3
2862,11,8,10,6,16,15,9,6
61,3,5,1,2,11,1,2,4
2216,4,5,3,1,22,26,1,1
1866,11,5,4,8,22,11,1,8
3459,12,5,10,10,36,29,2,3
1343,3,8,5,1,19,20,6,7
216,4,7,8,6,15,16,6,5
3404,17,10,10,0,41,34,10,4
6874,20,8,7,2,51,24,2,8
149,2,4,3,6,5,6,1,2
1663,3,8,8,3,18,15,16,8
429,2,5,6,3,16,14,14,9
2,0,4,1,1,5,0,2,3
4948,9,8,3,0,25,32,6,8
889,8,11,12,7,25,36,1,3
9386,26,12,15,0,59,54,17,8
1304,5,5,8,4,15,10,3,7
1,0,5,2,0,2,3,1,1
9792,26,14,15,0,67,53,18,4
3498,10,9,12,10,45,46,2,3
5855,25,12,5,6,60,21,7,4
1580,2,5,7,1,12,27,1,8
3298,7,11,8,4,34,27,12,6
6444,21,12,15,3,55,46,19,8
10404,22,9,9,6,57,54,4,6
1088,8,9,11,2,26,30,1,4
116,0,3,0,1,4,0,4,4
266,3,7,9,0,8,5,1,6
41,1,4,2,0,4,1,6,10
5331,18,14,15,7,47,50,5,8
26,1,10,11,3,3,15,6,3
1263,8,7,3,2,27,23,1,6
2080,14,4,5,0,32,17,1,8
470,3,11,3,4,9,28,1,5
81,2,3,3,2,16,9,1,4
460,8,5,6,4,23,9,1,2
2164,13,11,11,3,34,28,16,10
261,1,3,2,0,9,4,1,2
14360,29,11,11,0,67,53,19,6
4398,16,8,4,4,37,29,3,6
3772,12,7,3,1,28,33,1,6
2200,9,4,4,0,35,26,2,4
31,4,7,9,1,10,12,1,4
188,8,5,2,0,20,8,1,9
10,4,5,4,0,13,1,3,1
14040,28,9,9,3,67,57,5,1
759,9,6,8,6,30,17,1,4
2159,4,9,8,5,17,18,17,9
8249,25,7,13,0,51,33,17,9
161,4,6,5,6,10,4,4,4
21,3,8,9,3,17,15,1,4
1284,6,4,6,1,24,9,10,6
3,0,3,1,1,4,5,1,4
7822,19,9,15,3,52,47,13,5
38,1,4,2,0,4,11,1,5
41,2,8,6,7,14,4,1,4
7428,15,6,4,0,32,22,5,3
643,3,7,8,2,13,13,1,8
6104,15,11,22,7,34,27,27,8
1927,5,9,17,6,30,33,11,6
104,4,7,4,1,17,10,15,5
2134,16,8,9,3,40,13,2,7
159,2,4,5,4,16,12,3,5
24,0,5,1,2,5,4,1,7
2081,13,6,9,0,27,24,7,10
369,2,4,6,2,12,2,12,3
1191,5,3,6,6,19,23,1,4
3990,16,12,11,2,45,36,8,7
2465,3,7,5,3,8,13,18,6
100,2,5,4,6,9,5,3,4
5644,16,8,11,2,47,25,11,5
397,5,7,7,0,17,18,1,8
62,2,10,14,2,16,9,4,6
336,1,3,7,1,6,4,1,1
77,2,4,15,1,11,9,3,9
88,0,4,3,4,8,12,1,4
881,2,5,9,0,15,24,2,6
590,2,7,7,5,19,10,2,8
4513,16,8,17,1,35,35,8,6
3110,10,7,12,8,14,14,17,6
3824,12,12,19,3,40,50,4,5
1028,3,6,11,2,10,17,2,2
644,5,7,6,0,18,23,1,9
5,1,7,8,0,6,5,1,6
1092,10,9,12,7,38,19,3,7
7,1,5,8,0,11,5,1,9
703,5,8,3,2,21,10,12,6
7301,23,11,14,7,53,44,10,6
0,0,6,3,1,0,0,1,7
8,1,7,7,1,7,8,2,2
0,0,2,1,0,0,0,1,4
16,1,5,10,6,4,6,2,4
517,15,7,11,4,37,14,6,5
2389,5,6,3,4,24,32,6,5
63,5,8,2,2,11,10,1,8
38,1,2,3,1,6,5,1,7
1639,10,6,7,3,27,24,2,5
457,3,6,9,7,13,20,1,10
14507,30,12,19,2,68,60,11,6
1790,8,6,11,5,15,22,1,5
2441,3,6,4,3,16,28,1,8
5380,12,13,22,3,39,49,7,6
77,1,4,2,0,5,2,1,4
608,1,3,3,1,8,12,2,7
0,0,4,2,0,1,1,2,7
1,0,9,6,8,2,4,1,7
119,1,5,1,6,8,6,1,8
217,1,3,2,4,7,10,3,3
9414,17,11,8,2,43,37,28,2
107,3,6,5,4,15,4,8,8
523,1,6,4,3,15,20,2,4
231,3,5,10,2,14,7,2,4
5456,10,8,5,2,34,20,13,8
42,1,3,2,1,14,2,5,9
1878,3,6,3,4,24,16,3,8
7674,22,11,9,3,55,31,12,4
3251,16,8,11,3,35,31,8,2
4337,17,9,13,1,51,35,7,4
6159,17,11,7,2,43,43,4,7
1395,4,8,4,1,19,19,1,4
6209,18,13,16,6,55,45,17,6
5066,21,10,15,3,46,40,3,5
418,7,7,5,2,21,10,3,9
2672,17,8,12,2,45,38,8,8
6395,25,13,9,2,62,40,9,8
13977,28,11,12,2,66,60,7,6
300,2,7,4,7,14,10,6,6
1439,14,8,6,3,35,24,2,5
461,2,4,1,1,7,4,1,4
19,1,8,3,2,17,6,7,4
51,1,3,5,1,2,3,1,2
2281,10,8,6,2,28,18,4,8
7228,17,8,9,0,39,27,6,6
0,0,3,3,0,0,0,2,3
5197,8,9,10,7,29,29,13,4
777,13,7,10,5,30,8,14,3
2,0,2,1,0,4,0,2,1
659,3,5,1,2,14,8,1,4
31,1,5,4,2,7,1,23,5
289,2,6,8,2,11,15,2,4
273,7,5,3,0,22,13,1,7
6662,16,8,6,1,36,30,5,5
553,2,7,7,3,14,14,9,9
8485,25,11,17,3,54,52,3,6
653,5,3,7,0,21,16,1,9
1,1,6,5,0,7,1,4,8
406,3,3,3,0,11,4,1,7
67,1,5,4,0,6,1,3,8
2035,11,8,19,1,34,39,9,8
1303,20,9,22,3,57,27,5,4
2487,17,6,7,3,43,28,1,3
1101,5,6,10,7,18,32,1,4
4,1,2,2,1,4,1,1,4
5365,25,11,17,1,59,42,10,6
13,0,3,1,4,3,1,1,4
786,3,5,12,1,16,10,2,4
419,1,10,9,7,16,10,3,7
8075,21,12,20,0,56,42,18,6
59,2,9,10,1,13,15,2,6
31,1,5,12,2,5,14,10,2
396,1,7,5,4,5,10,2,8
67,4,8,5,1,12,13,1,8
398,8,6,2,2,22,13,1,1
462,8,8,4,6,24,24,1,8
3620,19,8,6,5,45,29,6,3
516,5,3,4,6,26,15,1,8
3661,14,7,16,2,36,27,4,9
3097,15,9,7,8,46,27,9,4
198,3,6,2,2,15,10,1,8
4803,20,14,18,7,38,38,10,5
7238,27,10,14,7,63,41,7,9
0,0,2,0,1,1,2,1,1
68,4,6,12,5,15,15,1,6
4746,16,5,3,0,36,24,4,8
6,0,2,0,1,2,0,1,4
3613,20,13,12,7,47,31,8,3
3125,22,10,6,2,45,18,1,4
200,3,9,11,2,14,13,4,2
179,2,9,4,3,12,17,1,3
2791,5,5,4,3,22,22,1,8
5799,10,8,6,3,24,41,2,6
6463,18,11,11,2,41,29,5,6
293,1,5,9,3,4,8,1,6
1588,6,8,2,0,21,8,9,3
923,11,8,9,0,26,12,6,3
21,1,6,2,2,4,1,1,4
6454,14,9,13,5,47,42,20,5
1376,15,8,10,10,43,33,2,8
8116,24,12,15,5,53,44,6,9
4,1,3,1,2,8,0,1,4
187,4,8,5,2,14,24,2,6
55,3,5,1,0,12,5,1,4
291,2,6,2,1,11,5,3,7
42,1,7,6,0,2,10,1,8
67,2,5,11,0,5,3,2,6
540,2,6,6,2,7,18,1,3
13,1,6,6,2,5,7,1,9
3881,18,8,11,0,45,21,19,6
5156,13,9,7,0,40,36,13,6
4858,9,8,5,6,30,31,2,2
5157,12,11,9,3,42,39,1,4
1403,7,5,8,4,29,21,1,5
3842,17,8,17,7,33,32,1,3
2841,7,9,9,7,27,28,4,6
1221,11,9,10,2,39,30,7,7
7226,25,10,6,4,58,47,7,6
8025,22,12,16,5,60,56,20,5
145,4,8,9,0,12,7,3,6
10300,24,13,22,0,59,56,8,5
18,1,5,1,3,10,0,3,8
2607,13,13,12,8,37,48,6,8
5672,10,7,5,0,28,40,1,4
35,1,5,2,1,3,2,4,6
894,9,6,3,1,41,27,2,10
737,5,7,8,3,14,24,1,4
7556,20,11,7,6,56,55,8,6
3797,8,7,8,0,19,27,4,5
208,1,3,2,0,8,4,1,6
4058,12,12,8,3,40,38,14,7
7051,23,7,8,5,44,33,1,5
3,1,2,1,1,2,0,1,3
697,6,6,4,2,14,19,1,7
1038,8,9,12,10,18,13,9,6
1458,4,4,5,0,13,9,1,9
1084,3,5,9,8,24,12,8,8
4016,16,10,15,7,46,43,6,6
7494,21,10,15,5,57,48,16,1
1788,4,7,13,7,12,27,1,7
6501,15,10,9,7,38,42,9,6
1419,8,7,7,0,29,8,3,6
2010,7,11,7,0,24,39,6,6
3861,18,13,14,2,39,40,7,6
2091,5,5,8,3,18,20,1,9
1025,5,9,7,3,24,12,4,8
1421,5,9,9,6,23,22,19,9
12260,26,12,9,3,66,46,28,6
8340,19,11,9,3,48,45,5,6
8005,17,9,9,1,49,41,3,7
38,1,2,1,1,5,3,1,6
44,0,2,4,4,2,2,1,8
1241,8,5,11,5,17,24,1,6
168,1,7,9,2,9,12,12,7
4759,14,8,10,5,36,30,2,1
1494,9,7,3,0,28,21,1,4
1485,6,7,5,5,21,23,1,7
1893,12,9,15,2,28,19,1,7
1561,9,11,6,5,37,23,14,6
2829,14,8,10,3,45,18,7,7
8672,26,9,9,3,59,30,6,6
6078,23,12,11,2,51,42,6,5
236,5,5,5,0,17,11,2,4
2538,11,5,2,1,20,12,4,2
40,1,7,5,3,9,3,1,3
802,2,8,13,3,12,18,10,6
367,3,6,7,1,16,13,3,9
2683,4,4,10,0,17,19,2,5
6693,17,7,5,8,45,38,2,1
3400,22,11,7,1,54,34,11,8
15,0,5,1,5,1,1,3,8
5076,19,15,16,7,57,56,18,6
6789,14,11,18,7,38,34,2,5
3844,14,11,8,5,43,44,19,7
451,11,7,7,0,36,18,4,10
4199,15,10,15,8,47,37,18,6
1203,6,9,6,2,16,25,2,8
1341,7,8,4,1,26,25,3,4
224,5,5,2,0,23,15,1,8
329,0,4,1,1,1,9,1,4
267,3,3,1,1,10,7,1,7
981,2,5,4,1,22,21,5,1
80,1,7,4,6,6,10,1,8
229,1,5,3,4,7,7,2,8
2968,16,11,16,5,52,35,7,8
17,3,9,10,0,23,7,1,3
706,11,5,3,2,39,9,6,7
1968,9,8,6,4,26,28,8,8
896,6,5,10,8,22,14,2,6
14118,23,9,13,1,65,60,1,1
2,1,3,8,2,1,0,1,5
17,3,9,7,3,9,6,12,5
1731,7,7,3,1,26,17,14,6
5574,23,10,16,3,56,41,17,6
311,1,3,1,0,4,9,1,9
3411,12,6,10,0,34,27,1,7
831,3,8,7,5,8,34,1,4
3000,11,7,6,0,32,51,2,8
26,1,4,5,8,6,14,1,4
0,0,3,5,5,1,3,1,4
153,5,5,5,5,12,3,1,8
0,0,1,1,1,1,0,1,6
1104,2,4,1,1,9,5,4,5
8617,25,11,11,0,51,38,7,6
262,1,5,8,0,11,8,18,4
43,2,4,7,2,10,5,1,6
7919,23,11,16,8,58,37,17,5
29,1,7,4,2,5,5,1,4
1,1,4,1,4,4,1,1,8
8417,21,11,13,2,52,45,10,9
187,2,4,4,0,7,3,1,9
5620,22,6,13,2,50,33,2,9
13714,30,10,10,3,68,47,22,6
5788,16,9,4,2,41,36,9,3
1,0,6,5,4,4,2,4,9
7954,22,8,9,1,55,47,23,6
1226,13,10,21,1,38,32,5,8
1322,17,8,12,0,42,15,12,4
114,1,8,5,10,7,3,8,4
13361,27,12,18,3,68,53,15,5
1335,6,5,8,6,24,23,2,4
363,4,5,3,6,11,6,1,6
4095,15,6,4,0,31,12,3,5
2675,20,11,16,7,53,28,7,7
6016,22,9,6,3,54,32,6,4
3112,8,9,7,3,23,8,7,4
5017,18,7,4,2,46,22,12,8
121,3,4,5,0,8,11,2,8
2538,9,8,8,3,27,33,2,2
1203,9,9,15,3,23,25,11,6
1,0,6,2,1,3,4,2,6
13721,27,10,18,3,64,60,6,6
1322,9,7,11,3,37,20,6,4
2677,7,10,15,0,28,35,30,6
5846,24,12,17,5,55,47,8,6
327,3,9,9,3,14,22,2,1
2645,12,10,16,3,37,32,6,3
285,4,7,9,0,19,12,1,6
26,1,6,2,4,5,5,1,5
1897,13,4,5,0,37,11,1,4
11222,28,13,16,1,65,57,15,2
5,0,4,1,1,2,0,2,8
3188,18,6,12,4,48,13,18,9
923,4,6,3,1,21,15,8,7
3761,8,9,5,8,27,19,6,6
10213,24,9,8,4,60,52,18,6
49,2,7,2,1,9,6,2,5
100,1,3,1,8,14,5,2,5
1092,8,7,1,6,19,23,3,4
515,8,5,4,4,14,4,1,6
5066,18,11,8,0,47,33,5,2
7458,24,13,15,1,63,41,18,6
3804,15,7,9,3,30,18,5,7
0,0,1,0,0,0,0,1,6
8871,17,10,13,8,49,42,9,3
975,4,8,13,6,21,17,12,5
1297,4,9,12,0,23,29,13,8
204,2,5,10,1,14,18,3,7
7502,20,8,13,3,54,48,3,7
714,3,6,3,0,21,10,7,4
1568,8,11,10,3,30,12,18,5
9647,22,11,13,2,62,58,14,7
5525,23,10,8,1,51,26,16,4
170,2,4,2,1,12,10,1,4
292,4,3,5,3,4,10,1,3
568,1,4,1,0,7,12,1,4
2398,13,9,14,5,37,26,7,9
503,2,9,4,1,17,21,3,5
4913,12,8,16,2,38,33,5,6
208,4,7,4,5,16,22,2,5
6705,12,9,11,2,29,44,2,7
5643,16,7,10,4,37,44,1,7
2401,6,5,7,5,28,16,7,6
2079,7,6,5,0,22,20,2,1
1056,3,6,6,0,13,13,5,4
362,7,6,3,1,29,14,3,7
11073,27,11,10,0,63,55,8,7
2095,5,5,7,0,18,20,1,7
1437,6,6,6,1,20,22,3,8
56,0,3,4,0,1,2,1,9
1577,8,6,13,1,20,19,2,3
297,5,6,4,0,16,5,2,8
812,4,3,4,1,12,11,1,9
399,3,13,8,0,12,21,4,5
0,0,2,1,0,3,0,1,4
1798,11,8,8,2,38,17,2,6
31,0,7,1,2,3,5,2,6
125,4,9,9,0,17,15,4,9
378,4,5,8,8,12,13,1,7
4331,16,7,6,2,44,32,3,6
11937,28,14,22,0,68,48,30,6
108,5,9,13,0,19,16,1,9
623,4,8,9,3,15,14,9,6
12,0,3,6,0,3,3,1,8
2430,7,6,12,5,26,21,9,4
708,8,8,4,5,21,14,3,3
762,7,8,7,4,20,11,1,9
123,2,6,4,2,10,4,9,9
0,0,1,0,0,0,0,1,5
11544,26,13,15,5,64,47,17,9
343,3,10,17,2,14,11,4,9
6397,14,8,10,3,35,46,9,9
0,0,5,4,1,2,6,1,8
3607,15,9,13,0,44,39,2,6
2221,20,13,12,7,43,41,9,4
1583,7,10,5,8,21,34,10,8
651,10,9,6,3,28,15,1,8
3001,13,12,5,2,39,27,6,4
193,2,1,1,1,14,4,1,4
4866,10,7,7,4,35,32,4,6
3178,11,8,9,0,33,33,12,8
1,0,7,8,7,2,8,1,6
5184,11,12,5,5,46,53,2,6
2132,5,6,3,4,20,20,2,4
532,9,6,8,1,26,18,14,4
596,4,7,7,3,21,19,1,2
7427,24,8,5,3,56,31,3,7
2614,22,13,17,0,54,32,19,9
2572,10,5,4,2,23,7,2,6
310,1,10,7,7,6,9,1,5
462,1,3,6,1,6,11,1,8
1530,1,4,10,0,8,12,1,8
1059,9,9,9,8,19,14,3,8
99,1,9,6,0,8,4,4,6
2211,12,7,8,0,33,21,1,7
34,2,9,8,2,8,12,2,8
11599,25,14,14,7,62,43,20,2
181,1,7,5,0,11,12,1,9
686,8,5,2,3,23,3,6,4
1092,10,6,4,0,25,8,2,4
347,3,2,3,4,12,6,4,6
2013,10,5,4,0,32,18,2,4
7,3,3,4,2,8,7,1,8
150,4,7,13,6,12,7,7,6
947,14,9,10,2,34,14,2,8
31,1,4,1,1,6,1,1,9
445,1,5,6,1,4,9,5,8
6,0,3,4,1,1,4,1,2
108,1,2,3,1,10,1,1,1
608,2,5,3,2,10,10,1,3
8,2,5,5,2,10,5,1,8
6647,22,10,4,0,52,46,6,6
999,4,4,1,6,23,6,3,4
1412,5,5,5,2,21,3,5,4
147,3,5,7,6,9,9,1,8
1861,15,7,17,3,32,17,3,6
83,1,5,5,0,5,10,1,1
4775,18,10,11,8,36,20,4,6
701,4,8,3,0,23,16,10,8
1,1,5,12,2,4,2,3,6
1,0,3,0,3,0,0,2,4
6,0,1,2,0,3,0,1,7
360,4,7,6,1,21,13,5,7
957,3,4,2,1,11,11,2,7
187,1,5,3,0,4,9,1,9
15,0,2,1,0,4,2,1,7
86,1,3,2,1,6,3,6,6
5561,21,11,9,8,62,50,3,8
8122,25,10,8,3,57,33,3,2
7330,17,10,7,3,45,31,3,8
3435,13,8,8,10,37,38,6,5
6199,15,8,9,7,40,43,6,7
91,6,8,11,5,27,5,4,7
104,6,8,10,0,21,12,7,6
2556,15,7,17,4,42,25,4,7
1149,3,7,3,6,16,16,2,7
79,4,7,8,4,14,8,4,4
3552,5,5,2,0,18,17,11,9
